substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
CLOVIS,25408,Fresno,21,3,,3150,3954,7104,NO,-119.68092161392015,36.826322589044764
MC CALL,25412,Fresno,12,2,,12968,13445,26413,NO,-119.63836125979108,36.6103052673948
AUBERRY,25415,Fresno,12,2,,5103,5401,10504,NO,-119.49617440265195,37.0682317832377
BONITA,25539,Yosemite,12,1,1,3111,4640,7751,NO,-120.2031525152736,36.96781971171099
NORTECH,08246,San Jose,21,2,,12960,20052,33012,NO,-121.9604588755621,37.42095169352169
EL NIDO,25245,Yosemite,12,2,,5683,15757,21440,NO,-120.47290782246547,37.12088972778191
MAGUNDEN,25277,Kern,12,2,,18266,20999,39265,NO,-118.92383965394583,35.36190117650727
BAKERSFIELD,25337,Kern,12,6,,2971,3211,6182,NO,-119.00445108128255,35.38858633344532
EL CAPITAN,25388,Yosemite,12,3,,19157,21162,40319,NO,-120.50540396991832,37.335952819981316
OAKLAND C,01201,East Bay,12,4,,9543,9852,19395,YES,-122.28100831632332,37.79750313857218
CLAYTON,01202,Diablo,21,4,,21159,22604,43763,NO,-121.96926364911442,37.94428985556829
OAKLAND L,01211,East Bay,12,5,,1157,1190,2347,NO,-122.27159254723468,37.810340376987845
VALLEY VIEW,01434,East Bay,12,2,,3505,3697,7202,NO,-122.27912095478517,37.966287712532626
CAYETANO,01442,Mission,21,1,,6215,6307,12522,NO,-121.77069648385788,37.73836825979488
TIDEWATER,01465,Diablo,21,2,,21486,24204,45690,NO,-122.06207554043746,38.02052295487403
TASSAJARA,01466,Diablo,21,3,,22906,25112,48018,NO,-121.90788099393205,37.80025073342344
SF A (POTRERO),02203,San Francisco,12,3,,692,1352,2044,NO,-122.38631343999467,37.75597723579284
EAST GRAND,02257,Peninsula,12,5,,524,1191,1715,NO,-122.40420306125036,37.65396784266645
DALY CITY,02264,Peninsula,12,3,,4239,4390,8629,NO,-122.45565658797351,37.69202059210078
MILLBRAE,02269,Peninsula,12,3,,1650,2591,4241,NO,-122.39200798842708,37.605423991794794
SNEATH LANE,02272,Peninsula,12,2,,8539,8936,17475,NO,-122.44686234566812,37.62198851913939
