substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
Fighter P.t.,2239.0,Mira Loma 220/66 System,1.136,0.05,1.186,7.6,0.16,8.81,12.0,2.0,74.6193,5.0761,0.0,0.0,20.3046,147.0,10.0,0.0,0.0,40.0,Interconnection studies in this area have identified adequate deliverability.
Fish Valley,192.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Flagstone P.t.,2031.0,Del Amo 220/66 System,0.285,0.0,0.285,0.65,0.44,0.71,4.0,1.0,93.4211,2.6316,0.0,0.0,3.9474,71.0,2.0,0.0,0.0,3.0,Interconnection studies in this area have identified adequate deliverability.
Fontana P.h.,166.0,Etiwanda 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Fort Irwin,1054.0,Kramer 220/115 System,0.0,0.0,0.0,13.2,0.0,22.4,12.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,570.0,Interconnection studies in this area have identified inadequate deliverability.
Fortune P.t.,2301.0,Valley 500/115 System,0.0,0.0,0.0,2.92,0.0,10.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,Deliverability in this area has not been determined by previous interconnection studies.
Forty Eight St. P.t.,1381.0,La Cienega 220/66 System,0.0,0.0,0.0,0.0,0.0,0.5,4.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified adequate deliverability.
Gabrielino P.t.,2039.0,Mesa 220/66 System,0.117,0.0,0.117,0.74,0.16,0.88,4.0,1.0,82.1918,4.1096,0.0,0.0,13.6986,60.0,3.0,0.0,0.0,10.0,Interconnection studies in this area have identified adequate deliverability.
Gaffey P.t.,1386.0,La Fresa 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Gage,891.0,Laguna Bell 220/66 System,0.151,0.0,0.151,3.17,0.05,7.29,4.0,2.0,71.5262,9.795,0.0,0.0,18.6788,314.0,43.0,0.0,0.0,82.0,Interconnection studies in this area have identified adequate deliverability.
Galileo P.t.,1397.0,Kramer 220/115 System,0.009,0.0,0.009,0.48,0.02,0.99,12.0,1.0,21.7391,4.3478,0.0,0.0,73.913,5.0,1.0,0.0,0.0,17.0,Interconnection studies in this area have identified inadequate deliverability.
Garvey,403.0,Mesa 220/66 System,1.015,0.031,1.047,5.53,0.19,12.45,4.0,4.0,82.4397,4.8257,0.0,0.0,12.7346,615.0,36.0,0.0,0.0,95.0,Interconnection studies in this area have identified adequate deliverability.
Gene,236.0,Mwd 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
George A.f.b.,1671.0,Victor 220/115 System,0.0,0.0,0.0,2.14,0.0,15.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
George Afb,,,,,,,,,4.0,2.0,0.0,16.092,0.0,0.0,83.908,0.0,14.0,0.0,0.0,73.0,
Glen Ivy,1674.0,Valley 500/115 System,0.0,0.0,0.0,0.0,0.0,5.65,12.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Deliverability in this area has not been determined by previous interconnection studies.
Globemaster P.t.,2355.0,Valley 500/115 System,0.067,0.043,0.109,0.0,0.0,9.89,12.0,1.0,0.0,57.6923,0.0,0.0,42.3077,0.0,15.0,0.0,0.0,11.0,Deliverability in this area has not been determined by previous interconnection studies.
Glow,2172.0,Antelope 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Goldminer P.t.,2202.0,Kramer 220/115 System,0.0,0.0,0.0,1.89,0.0,5.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,35.0,Interconnection studies in this area have identified inadequate deliverability.
Granada,404.0,Eagle Rock 220/66 System,1.391,0.062,1.452,7.32,0.2,8.55,4.0,6.0,75.4448,8.1851,0.2372,0.0,16.1329,636.0,69.0,2.0,0.0,136.0,Interconnection studies in this area have identified adequate deliverability.
Grapevine P.t.,1388.0,Valley Electric 220/25,0.0,0.0,0.0,0.04,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,Deliverability in this area has not been determined by previous interconnection studies.
Grapevine Peak P.t.,,,,,,,,,2.4,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,
Great Oak,1866.0,Valley 'D' 500/115 System,0.0,0.0,0.0,8.74,0.0,20.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Green Bear P.t.,1389.0,Vista 220/115 System,0.049,0.008,0.057,0.82,0.07,0.94,2.4,1.0,83.8509,3.7267,0.0,0.0,12.4224,135.0,6.0,0.0,0.0,20.0,Interconnection studies in this area have identified adequate deliverability.
Green Valley P.t.,1390.0,Antelope 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Greenleaf P.t.,,,,,,,,,4.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Grimshaw P.t.,1392.0,Valley Electric 220/25,0.006,0.0,0.006,0.41,0.01,0.74,2.4,1.0,49.1803,4.918,0.0,0.0,45.9016,30.0,3.0,0.0,0.0,28.0,Interconnection studies in this area have identified adequate deliverability.
Growers,2280.0,Vestal 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Gunsite P.t.,1393.0,El Casco 220/115 System,0.0,0.0,0.0,0.05,0.0,0.25,2.4,1.0,0.0,33.3333,0.0,0.0,66.6667,0.0,1.0,0.0,0.0,2.0,Deliverability in this area has not been determined by previous interconnection studies.
Haagen,1149.0,Rector 220/66 System,0.0,0.0,0.0,4.79,0.0,5.6,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Heartwell P.t.,1996.0,Del Amo 220/66 System,0.307,0.051,0.358,1.0,0.36,0.64,4.0,1.0,91.3333,1.3333,0.0,0.0,7.3333,137.0,2.0,0.0,0.0,11.0,Interconnection studies in this area have identified adequate deliverability.
Heritage,691.0,Saugus 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Hession P.t.,1402.0,Dwp Hession-85 System,0.239,0.04,0.279,0.83,0.34,0.72,12.0,1.0,92.4731,2.1505,0.0,0.0,5.3763,86.0,2.0,0.0,0.0,5.0,Deliverability in this area has not been determined by previous interconnection studies.
Hexfet,1254.0,Valley 'D' 500/115 System,0.0,0.0,0.0,9.15,0.0,20.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
High P.t.,1415.0,Kramer 220/115 System,0.054,0.0,0.054,0.87,0.06,1.45,4.0,1.0,55.9701,11.9403,0.0,0.0,32.0896,150.0,32.0,0.0,0.0,86.0,Interconnection studies in this area have identified inadequate deliverability.
High School P.t.,1401.0,Vista 220/115 System,0.015,0.0,0.015,0.38,0.04,0.44,2.4,1.0,83.3333,2.2727,0.0,0.0,14.3939,110.0,3.0,0.0,0.0,19.0,Interconnection studies in this area have identified adequate deliverability.
Hillgreen P.t.,2234.0,La Cienega 220/66 System,0.006,0.01,0.016,0.1,0.16,0.08,2.4,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified adequate deliverability.
Hollywood Park,2246.0,El Nido 220/66 System,0.0,0.0,0.0,11.2,0.0,52.17,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Homewood P.t.,1404.0,Kramer 220/115 System,0.024,0.0,0.024,0.06,0.38,0.48,4.8,1.0,55.0,5.0,0.0,0.0,40.0,11.0,1.0,0.0,0.0,8.0,Interconnection studies in this area have identified inadequate deliverability.
Hook Creek P.t.,1405.0,Vista 220/115 System,0.027,0.0,0.027,0.34,0.08,0.97,2.4,1.0,81.5385,2.3077,0.0,0.0,16.1538,106.0,3.0,0.0,0.0,21.0,Interconnection studies in this area have identified adequate deliverability.
Hossack P.t.,1406.0,Springville 220/66 System,0.0,0.0,0.0,0.03,0.0,0.1,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Hot Water P.t.,1407.0,Valley Electric 220/25,0.0,0.0,0.0,0.35,0.0,0.75,12.0,1.0,15.0,25.0,0.0,0.0,60.0,3.0,5.0,0.0,0.0,12.0,Interconnection studies in this area have identified adequate deliverability.
Hub,793.0,Vista A 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Hunter,273.0,Vista C 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Huntington P.t.,2320.0,Big Creek 220/220 System,0.0,0.0,0.0,0.33,0.0,1.0,12.0,1.0,20.0,40.0,0.0,0.0,40.0,1.0,2.0,0.0,0.0,2.0,Interconnection studies in this area have identified inadequate deliverability.
Huntington Park,849.0,Laguna Bell 220/66 System,0.569,0.082,0.651,7.1,0.09,11.35,4.0,7.0,63.7456,17.8092,0.0,0.0707,18.3746,902.0,252.0,0.0,1.0,260.0,Interconnection studies in this area have identified adequate deliverability.
Hutt P.t.,1411.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,18.1818,0.0,0.0,81.8182,0.0,2.0,0.0,0.0,9.0,Interconnection studies in this area have identified inadequate deliverability.
Ice House P.t.,1417.0,Padua 220/66 System,0.0,0.0,0.0,0.06,0.0,0.1,2.4,1.0,25.0,0.0,0.0,0.0,75.0,3.0,0.0,0.0,0.0,9.0,Interconnection studies in this area have identified adequate deliverability.
Idyllbrook P.t.,1418.0,Valley 'Ab' 500/115 System,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Industrial Asphalt,1078.0,Vista 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Inspiration P.t.,2291.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified inadequate deliverability.
Inyo Sce,1615.0,Inyo Sce 220/115 System,32.064,61.065,93.129,61.38,1.52,6.87,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Iron Mt. (Mwd),237.0,Mwd 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Iron Mt. (Sce),,,,,,,,,16.0,1.0,0.0,50.0,0.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,
Iron Mt. Sce,238.0,Mwd 220/220 System,0.0,0.0,0.0,0.0,0.0,2.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Irvine Park P.t.,1419.0,Villa Park 220/66 System,0.0,0.0,0.0,0.0,0.0,0.08,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
J.p.l.,1096.0,Gould 220/66 System,0.0,0.0,0.0,18.79,0.0,44.79,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Jacknorthrop P.t.,,,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,
Japanese Mesa,,,,,,,,,12.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Jay P.t.,1422.0,Lighthipe 220/66 System,0.405,0.022,0.427,1.1,0.39,1.07,4.0,1.0,87.037,0.463,0.0,0.0,12.5,188.0,1.0,0.0,0.0,27.0,Interconnection studies in this area have identified adequate deliverability.
Jessie P.t.,1428.0,Kramer 220/115 System,0.535,0.0,0.535,1.0,0.54,0.46,4.0,1.0,59.7701,5.7471,0.0,0.0,34.4828,52.0,5.0,0.0,0.0,30.0,Interconnection studies in this area have identified inadequate deliverability.
Job P.t.,1424.0,Vista 220/115 System,0.046,0.0,0.046,0.41,0.11,0.45,2.4,1.0,68.9655,0.0,0.0,0.0,31.0345,40.0,0.0,0.0,0.0,18.0,Interconnection studies in this area have identified adequate deliverability.
Joburg P.t.,1427.0,Kramer 220/115 System,0.03,0.0,0.03,0.66,0.04,0.97,2.4,1.0,65.2695,11.976,0.0,0.0,22.7545,109.0,20.0,0.0,0.0,38.0,Interconnection studies in this area have identified inadequate deliverability.
Johanna 'A',2133.0,Johanna 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Johanna 'B',2132.0,Johanna 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Johnsondale P.t.,1425.0,Vestal 220/66 System,0.031,0.0,0.031,0.12,0.25,0.47,4.0,1.0,14.2857,85.7143,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,Interconnection studies in this area have identified inadequate deliverability.
Kagle Canyon P.t.,1429.0,Saugus 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Kearney P.t.,1436.0,La Cienega 220/66 System,0.0,0.0,0.0,0.0,0.0,0.17,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Keeler P.t.,1430.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.17,0.0,0.35,2.4,1.0,51.2195,14.6341,0.0,0.0,34.1463,21.0,6.0,0.0,0.0,14.0,Interconnection studies in this area have identified inadequate deliverability.
Kerrgen,106.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Kimberly P.t.,1434.0,San Bernardino 220/66 System,0.0,0.0,0.0,0.29,0.0,0.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Kliss P.t.,1994.0,Del Amo 220/66 System,0.225,0.024,0.249,0.62,0.41,2.25,4.0,1.0,85.5263,2.6316,0.0,0.0,11.8421,65.0,2.0,0.0,0.0,9.0,Interconnection studies in this area have identified adequate deliverability.
Kneeland P.t.,1993.0,Del Amo 220/66 System,0.105,0.021,0.127,0.69,0.18,0.87,4.0,1.0,84.7826,7.6087,0.0,0.0,7.6087,78.0,7.0,0.0,0.0,7.0,Interconnection studies in this area have identified adequate deliverability.
Koefler P.t.,1433.0,Kramer 220/115 System,0.0,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Kuffel P.t.,1432.0,Vista 220/115 System,0.024,0.0,0.024,0.26,0.09,0.98,2.4,1.0,91.0714,2.2321,0.0,0.0,6.6964,204.0,5.0,0.0,0.0,15.0,Interconnection studies in this area have identified adequate deliverability.
La Colina,276.0,Vista 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,80.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified adequate deliverability.
La Cumbre P.t.,1439.0,Goleta 220/66 System,0.542,0.048,0.59,1.02,0.58,0.91,4.0,1.0,57.6923,15.3846,0.0,0.0,26.9231,30.0,8.0,0.0,0.0,14.0,Interconnection studies in this area have identified adequate deliverability.
La Fresa 'A',298.0,La Fresa 220/66 System,46.945,8.333,55.278,347.56,0.16,504.72,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
La Fresa 'B',300.0,La Fresa 220/66 System,66.495,69.874,136.369,362.89,0.38,393.63,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lacresta P.t.,1438.0,Valley 500/115 System,2.27,0.406,2.676,2.64,1.01,2.32,12.0,1.0,60.8247,8.7629,1.5464,0.0,28.866,118.0,17.0,3.0,0.0,56.0,Deliverability in this area has not been determined by previous interconnection studies.
Laguna Bell 'Ab',360.0,Laguna Bell Ab 220/66 System,28.206,23.428,51.634,334.27,0.15,478.37,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Laguna Bell 'De',361.0,Laguna Bell De 220/66 System,8.493,2.377,10.87,243.69,0.04,549.07,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lakeside P.t.,1440.0,Moorpark 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lakeview,1890.0,Valley 500/115 System,7.107,3.977,11.084,22.07,0.5,44.92,12.0,4.0,70.5925,4.263,0.1445,0.0,25.0,977.0,59.0,2.0,0.0,346.0,Deliverability in this area has not been determined by previous interconnection studies.
Langford P.t.,1451.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,0.03,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,Interconnection studies in this area have identified inadequate deliverability.
Lanpri,1206.0,Antelope 220/66 System,0.0,0.0,0.0,3.61,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Las Lomas,1859.0,Santiago 220/66 System,43.892,0.759,44.651,53.91,0.83,39.35,12.0,9.0,80.5228,9.3542,0.0,0.0256,10.0974,3142.0,365.0,0.0,1.0,394.0,Interconnection studies in this area have identified adequate deliverability.
Latchford Glass,1112.0,Laguna Bell De 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lathrop Wells P.t.,2084.0,Valley Electric 220/25,1.05,0.022,1.072,1.93,0.56,1.93,25.0,1.0,11.25,11.25,5.0,0.0,72.5,9.0,9.0,4.0,0.0,58.0,Deliverability in this area has not been determined by previous interconnection studies.
Lb Network,,,,,,,,,12.0,1.0,52.973,19.4595,0.0,0.0,27.5676,392.0,144.0,0.0,0.0,204.0,
Lighthipe 'Ab',356.0,Lighthipe 220/66 System,32.508,26.702,59.21,258.35,0.23,220.79,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lighthipe 'Def',357.0,Lighthipe 220/66 System,44.847,11.673,56.52,283.5,0.2,503.48,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lime Rock,1079.0,Victor 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lizard P.t.,1442.0,Mirage 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Loma Linda Hosp.,1068.0,San Bernardino 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Loma Vista P.t.,1456.0,Santa Clara 220/66 System,0.2,0.0,0.2,0.1,2.0,0.0,2.4,1.0,81.8182,0.0,0.0,0.0,18.1818,9.0,0.0,0.0,0.0,2.0,Interconnection studies in this area have identified adequate deliverability.
Long P.t.,1997.0,Del Amo 220/66 System,0.237,0.0,0.237,0.77,0.31,0.76,4.0,1.0,92.3077,1.7094,0.0,0.0,5.9829,108.0,2.0,0.0,0.0,7.0,Interconnection studies in this area have identified adequate deliverability.
Look Out P.t.,1450.0,Windhub 220/66 System,0.0,0.0,0.0,0.0,0.0,0.05,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Loucks P.t.,1457.0,Saugus 220/66 System,0.103,0.006,0.109,0.22,0.49,2.39,12.0,1.0,47.0588,17.6471,2.9412,0.0,32.3529,16.0,6.0,1.0,0.0,11.0,Interconnection studies in this area have identified adequate deliverability.
Lunada,530.0,La Fresa 220/66 System,0.263,0.072,0.334,0.0,0.0,5.62,4.0,3.0,92.9577,1.4085,0.0,0.0,5.6338,66.0,1.0,0.0,0.0,4.0,Interconnection studies in this area have identified adequate deliverability.
Lunar,619.0,Big Creek 220/220 System,0.012,0.0,0.012,1.31,0.01,3.74,12.0,1.0,27.2727,2.2727,0.0,0.0,70.4545,12.0,1.0,0.0,0.0,31.0,Interconnection studies in this area have identified inadequate deliverability.
Luring P.t.,1449.0,Vista 220/115 System,0.03,0.0,0.03,0.42,0.07,0.47,2.4,1.0,83.5821,1.4925,0.0,0.0,14.9254,112.0,2.0,0.0,0.0,20.0,Interconnection studies in this area have identified adequate deliverability.
Lytle Creek P.h.,165.0,Etiwanda 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Madrid,483.0,La Fresa 220/66 System,0.824,0.046,0.869,3.76,0.23,6.57,4.0,4.0,75.5304,10.3253,0.0,0.1414,14.0028,534.0,73.0,0.0,1.0,99.0,Interconnection studies in this area have identified adequate deliverability.
Madrone P.t.,1999.0,Barre 220/66 System,0.419,0.019,0.438,1.48,0.3,3.31,4.0,1.0,88.8889,3.7037,0.0,0.0,7.4074,144.0,6.0,0.0,0.0,12.0,Interconnection studies in this area have identified adequate deliverability.
Magmagen,67.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Mailbox P.t.,2299.0,Valley 500/115 System,0.785,0.0,0.785,10.0,0.08,9.21,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,Deliverability in this area has not been determined by previous interconnection studies.
Manhattan,484.0,La Fresa 220/66 System,2.78,0.189,2.969,5.78,0.51,4.53,4.0,5.0,72.4335,10.4563,0.0,0.0,17.1103,381.0,55.0,0.0,0.0,90.0,Interconnection studies in this area have identified adequate deliverability.
Marina P.t.,1462.0,Alamitos 220/66 System,0.0,0.0,0.0,0.35,0.0,1.0,4.0,1.0,0.0,33.3333,0.0,0.0,66.6667,0.0,10.0,0.0,0.0,20.0,Interconnection studies in this area have identified adequate deliverability.
Mars,1063.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,7.5,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.
Masonry P.t.,2271.0,Victor 220/115 System,0.0,0.0,0.0,1.96,0.0,10.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified adequate deliverability.
Mc Clary P.t.,1463.0,Victor 220/115 System,0.175,0.042,0.217,0.51,0.42,1.28,4.0,1.0,30.7692,3.2967,2.1978,0.0,63.7363,28.0,3.0,2.0,0.0,58.0,Interconnection studies in this area have identified adequate deliverability.
Mcclenny P.t.,1480.0,Vestal 220/66 System,0.03,0.0,0.03,0.06,0.49,0.14,2.4,1.0,45.4545,4.5455,0.0,0.0,50.0,10.0,1.0,0.0,0.0,11.0,Interconnection studies in this area have identified inadequate deliverability.
Mckevett P.t.,1461.0,Santa Clara 220/66 System,0.074,0.016,0.091,0.52,0.17,0.66,4.0,1.0,50.0,12.5,0.0,0.0,37.5,8.0,2.0,0.0,0.0,6.0,Interconnection studies in this area have identified adequate deliverability.
Mebane P.t.,1472.0,Windhub 220/66 System,0.0,0.0,0.0,0.06,0.0,0.3,12.0,1.0,5.8824,0.0,0.0,0.0,94.1176,1.0,0.0,0.0,0.0,16.0,Interconnection studies in this area have identified adequate deliverability.
Mescalero P.t.,1477.0,Devers 220/115 System,0.496,0.018,0.514,1.0,0.51,0.49,4.8,1.0,57.554,0.7194,0.0,0.0,41.7266,80.0,1.0,0.0,0.0,58.0,Deliverability in this area has not been determined by previous interconnection studies.
Mill Creek No.1 0,163.0,El Casco 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Mill Creek No.2 0,164.0,El Casco 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Minneola,1699.0,Kramer 220/115 System,0.525,3.01,3.536,2.02,1.75,1.71,12.0,1.0,47.6879,10.1156,0.0,0.0,42.1965,165.0,35.0,0.0,0.0,146.0,Interconnection studies in this area have identified inadequate deliverability.
Moab P.t.,1474.0,Padua 220/66 System,0.199,0.014,0.212,0.13,1.67,0.54,4.0,1.0,79.3103,6.8966,0.0,0.0,13.7931,23.0,2.0,0.0,0.0,4.0,Interconnection studies in this area have identified adequate deliverability.
Mobiloil,497.0,La Fresa 220/66 System,0.0,0.0,0.0,100.04,0.0,196.0,12.0,37.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,60.0,Interconnection studies in this area have identified adequate deliverability.
Mockingbird P.t.,1479.0,Devers 220/115 System,0.282,0.13,0.412,0.78,0.53,1.09,12.0,1.0,58.6777,13.2231,0.0,0.0,28.0992,71.0,16.0,0.0,0.0,34.0,Deliverability in this area has not been determined by previous interconnection studies.
Modoc,656.0,Goleta 220/66 System,0.26,0.008,0.267,0.0,0.0,10.75,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mojave Siphon (Cdwr),222.0,Vista 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Monaco U.g.s.,1470.0,La Fresa 220/66 System,0.0,0.0,0.0,0.0,0.0,0.75,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Moneta,486.0,La Fresa 220/66 System,1.441,0.143,1.584,9.18,0.17,13.29,4.0,7.0,66.9976,14.7045,0.0,0.0,18.2979,1417.0,311.0,0.0,0.0,387.0,Interconnection studies in this area have identified adequate deliverability.
Montecito,659.0,Goleta 220/66 System,1.579,0.244,1.822,4.79,0.38,4.13,4.0,4.0,41.954,11.4943,0.5747,0.0,45.977,73.0,20.0,1.0,0.0,80.0,Interconnection studies in this area have identified adequate deliverability.
Moorpark 'A',324.0,Moorpark 220/66 System,102.741,21.018,123.758,280.06,0.44,436.18,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Moorpark 'C',325.0,Moorpark 220/66 System,136.607,31.768,168.374,395.3,0.43,391.56,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Moraga33,,,,,,,,,33.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Morningside,487.0,El Nido 220/66 System,0.984,0.077,1.06,4.26,0.25,4.89,4.0,3.0,66.9127,16.3592,0.0,0.0,16.7282,544.0,133.0,0.0,0.0,136.0,Interconnection studies in this area have identified adequate deliverability.
Morongo P.t.,1912.0,Devers 220/115 System,1.404,0.082,1.486,1.12,1.33,3.51,12.0,1.0,62.5,2.8646,0.2604,0.0,34.375,240.0,11.0,1.0,0.0,132.0,Deliverability in this area has not been determined by previous interconnection studies.
Mountain Pass,1790.0,Kramer 220/115 System,0.0,0.0,0.0,6.26,0.0,9.37,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Mountain Pass A,1791.0,Kramer 220/115 System,0.068,0.0,0.068,3.69,0.02,12.69,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Moynier P.t.,1476.0,La Cienega 220/66 System,0.302,0.016,0.318,0.62,0.52,0.43,4.0,1.0,86.9048,5.9524,0.0,0.0,7.1429,73.0,5.0,0.0,0.0,6.0,Interconnection studies in this area have identified adequate deliverability.
